Titik Gangguan,ZL1,L1,L2,CT,PT,Zone 1,Zone2,Zone 3,Zone 4
5,1.459,5.15,10.87,200,1363.6,0.044,0.113,0.206,0.0073
10,1.459,5.15,10.87,200,1363.6,0.088,0.227,0.411,0.0146
15,1.459,5.15,10.87,200,1363.6,0.132,0.34,0.617,0.0219
20,1.459,5.15,10.87,200,1363.6,0.176,0.453,0.823,0.0292
25,1.459,5.15,10.87,200,1363.6,0.22,0.566,1.029,0.0365
30,1.459,5.15,10.87,200,1363.6,0.265,0.68,1.234,0.0438
35,1.459,5.15,10.87,200,1363.6,0.309,0.793,1.44,0.0511
40,1.459,5.15,10.87,200,1363.6,0.353,0.906,1.646,0.0584
45,1.459,5.15,10.87,200,1363.6,0.397,1.019,1.852,0.0657
50,1.459,5.15,10.87,200,1363.6,0.441,1.133,2.057,0.0730
55,1.459,5.15,10.87,200,1363.6,0.485,1.246,2.263,0.0802
60,1.459,5.15,10.87,200,1363.6,0.529,1.359,2.469,0.0875
65,1.459,5.15,10.87,200,1363.6,0.573,1.473,2.674,0.0948
70,1.459,5.15,10.87,200,1363.6,0.617,1.586,2.88,0.1021
75,1.459,5.15,10.87,200,1363.6,0.661,1.699,3.086,0.1094
80,1.459,5.15,10.87,200,1363.6,0.705,1.812,3.292,0.1167
85,1.459,5.15,10.87,200,1363.6,0.75,1.926,3.497,0.1240
90,1.459,5.15,10.87,200,1363.6,0.794,2.039,3.703,0.1313
95,1.459,5.15,10.87,200,1363.6,0.838,2.152,3.909,0.1386
100,1.459,5.15,10.87,200,1363.6,0.882,2.266,4.115,0.1459
